part1:

生意， sheng4yi, business
一切， yi2qie4, business
信心，xin4xin1, confidence
沙发， sha1fa1, sofa
低， di3, bottom
打折， da3zhe2, discount
平时， ping2shi2, ordinary times
流行， liu2xing2, popular
受不了， shou4bu4liao2, unbearable
逛， guang4, stroll
辛苦， xin1ku3, hard
正好， zheng4hao3, just right/just in times
台， tai2, measure work for machines

part2:
竞争， jing4zheng1, compete
压力， ya1li4, pressure
相同， xiang1tong2, equal
顾客， gu4ke4, customer
符合， fu2he2, according to
计划， ji4hua4, plan
专门， zhuan1men2, specialization
材料， cai2liao4, ingredient
不仅， bu4jin4, not only
陪， pei2, to accompany
袜子， wa4zi, socks
吃惊， chi1jing1, be shocked
竟然， jing4ran2, unexpectedly
遇到， yu4dao4, encounter
使， shi3, to make/cause/enable
签署， qian1xu1, modesty 

part 3

葡萄酒， pu2taojiu3, wine
味道， wei4dao4， flavor
艺术品， yi4shu4pin3, a work of art
吸引， xi1yin3, to attract
富， fu4, rich
穷，qiong2, poor
作者， zuo4zhe3, author
父亲， fu4qin, father
看法， kan4fa3, view
完全， wan2quan2, completely
接受， jie1shou4, to accept
而， er2, while
招聘， zhao1pin4, recruit
好像， hao3xiang4, seem like 
挺, ting3, very
适合， shi4he2, fitting
工资， gong1zi1, salary
