肯定, ken3ding4, definietly 
结束, jie2shu4, end
按照, an4zhao4, according to 
首都, shou3du1, capital
提前, ti2qian2, in advances 
堵车, du3che1, traffic jam
体育馆, ti2yu4guan3, stadium
语言, yu3yan2, language
广播, guang3bu4
刮大风了，gua1da4feng1le, it is windy
雨，yu3, rain
交通工具， jiao1tong1gong1ju4, means of transportation
经理，jing4li3, manager
要求，yao1qiu2, requirements 
乘客，cheng2ke4, passengers
确实，que4shi2, indeed
顺便，shun4bian4, while passing by 
杂志，za2zhi4, newspaper
乘坐，cheng2zuo4, ride
正确，zheng4que4, correct
提醒，ti2xing3, remind

part 2

速度，su4du4, speed
甚至，shen4zhi4, even to the extent that
节约，jie2yue1, to save
距离，ju4li2, distance
公里，gong1li3, meter
因此，yin1ci3, therefore
气候，qi4hou4, climate
区别，qu1bie2, difference
温度，wen2du4, temperate
差不多，cha4buduo1, almost
暖和，nuan3huo, warm
叶子，ye4zi, leaf
不过，bu2guo4, but/however
可惜，ke3xi1, it's a pity 
抱歉，bao4qian4, apology 
本来，ben3lai2, originally
篇，pian1, time/once through
材料，cai2liao4, material
交，jiao1, to hand over

part 4

允许， yun3xu3, allow
无论， wu2lun4, no matter what
危险， wei1xian3, dangerous
情况， qing2kuang4, situation
稍微，shao1wei1, slightly
方面， fang1mian4, aspect 
左右，zuo2you4, about /or so
云， yun2, cloud
照， zhao4, photo
质量， zhi4liang4, quality      
剩， sheng4, be left over
加油站， jia1you2zhan4, gas statsion
大概，da4gai4, most likely
来不及， lai2buji2
航班， hang2ban1, flight
季节， ji4jie2, season

part 5
随着, sui2zhe，along with
科学， ke1xue2, science
技术， ji4shu4, technology
发展， fa1zhang3, to develop
原来， yuan12ai2, originally 
寄， ji4, send
网站， wang3zhan4, website
任何， ren4he2, any
消息，xiao1xi1, news/message
交流， jiao1liu2, communicate
地球， di4qiu2, earth
海洋， hai3yang2, ocean
到底， dao4di3, on earth
方向， fang1xiang4, direction
估计， gu1ji4， estimate
表演， biao3yan3, performance
场， chang3, scene
